algorithm,dataset,original_size,compressed_size,encode_time,decode_time,peak_memory,dictionary_size,original_bases,lossless,compression_ratio_%,bits_per_base,encode_throughput_bases_per_sec,decode_throughput_bases_per_sec
VCSDplus_entropy,repetitive_codon_test.fasta,23171,2503,0.1021695421077311,0.09825504198670387,14.34981918334961,709.9970703125,23171,True,10.8023,0.8642,226789.7019,235825.0481
DNACompress,repetitive_codon_test.fasta,23171,1253,0.03426389582455158,0.0006192512810230255,1.4582099914550781,170.6484375,23171,True,5.4076,0.4326,676251.1805,37417766.7614
LZ78_style,repetitive_codon_test.fasta,23171,11368,0.0067601450718939304,0.003470352850854397,2.4239158630371094,22.626953125,23171,True,49.0613,3.9249,3427589.1647,6676842.6716
LZSS,repetitive_codon_test.fasta,23171,3394,0.1807932867668569,0.0007510120049118996,0.33203697204589844,1.0,23171,True,14.6476,1.1718,128162.9446,30853035.4355
2bit_pack,repetitive_codon_test.fasta,23171,5797,0.0011452366597950459,0.0012677661143243313,0.2189788818359375,0.0,23171,True,25.0183,2.0015,20232499.3719,18277030.5486
gzip_lvl9,repetitive_codon_test.fasta,23171,326,0.0001578889787197113,3.046402707695961e-05,0.33123111724853516,0.0,23171,True,1.4069,0.1126,146755018.5446,760602002.5345
zlib_lvl9,repetitive_codon_test.fasta,23171,314,0.00013782503083348274,1.662410795688629e-05,0.33123111724853516,0.0,23171,True,1.3551,0.1084,168118953.864,1393819148.6781
bz2_lvl9,repetitive_codon_test.fasta,23171,532,0.0022189700976014137,0.00011579273268580437,7.246004104614258,0.0,23171,True,2.296,0.1837,10442231.7475,200107549.6065
lzma_default,repetitive_codon_test.fasta,23171,376,0.00259951688349247,5.7375989854335785e-05,93.15338706970215,0.0,23171,True,1.6227,0.1298,8913579.3451,403844884.5732
VCSDplus,small_test.fasta,2484,907,0.007830454967916012,0.007477603852748871,1.4214143753051758,52.4833984375,2484,True,36.5137,2.9211,317222.9468,332191.9761
VCSDplus_entropy,small_test.fasta,2484,476,0.0075229168869555,0.00728466035798192,1.4221649169921875,52.4833984375,2484,True,19.1626,1.533,330191.0731,340990.503
DNACompress,small_test.fasta,2484,1767,0.0030531506054103374,0.00012288102880120277,0.5526819229125977,19.3515625,2484,True,71.1353,5.6908,813585.8073,20214674.5045
LZ78_style,small_test.fasta,2484,1713,0.0007666922174394131,0.0004596179351210594,0.35128211975097656,2.419921875,2484,True,68.9614,5.5169,3239892.0238,5404488.8378
LZSS,small_test.fasta,2484,1065,0.03336009895429015,0.0001460649073123932,0.05985069274902344,1.0,2484,True,42.8744,3.43,74460.2108,17006138.2005
2bit_pack,small_test.fasta,2484,625,0.00013430463150143623,0.0001444173976778984,0.023308753967285156,0.0,2484,True,25.161,2.0129,18495266.8589,17200143.7496
