dataset,config,compressed_bytes,compression_ratio_pct,bits_per_base,encode_time_s,decode_time_s,lossless,error,sequence_ordering,use_approximate,use_reverse_complement,use_token_entropy
codon_conserved_variation_test.fasta,compact_baseline,8377,35.43120585374106,2.8344964682992853,0.031183750834316015,0.027889598160982132,True,,False,False,False,False
codon_conserved_variation_test.fasta,use_token_entropy,6501,27.496510595102148,2.1997208476081718,0.029152743984013796,0.02693338133394718,True,,False,False,False,True
codon_conserved_variation_test.fasta,use_reverse_complement,13787,58.31324282028507,4.665059425622806,2.1192204081453383,0.024985973723232746,True,,False,False,True,False
codon_conserved_variation_test.fasta,use_reverse_complement+use_token_entropy,13787,58.31324282028507,4.665059425622806,2.126723595894873,0.024896805174648762,True,,False,False,True,True
codon_conserved_variation_test.fasta,use_approximate,16462,69.62737385272597,5.570189908218077,1.3741926662623882,0.017236616928130388,True,,False,True,False,False
codon_conserved_variation_test.fasta,use_approximate+use_token_entropy,16462,69.62737385272597,5.570189908218077,1.373708883766085,0.017467371188104153,True,,False,True,False,True
codon_conserved_variation_test.fasta,use_approximate+use_reverse_complement,16462,69.62737385272597,5.570189908218077,3.0028932532295585,0.017197768669575453,True,,False,True,True,False
codon_conserved_variation_test.fasta,use_approximate+use_reverse_complement+use_token_entropy,16462,69.62737385272597,5.570189908218077,3.004470595624298,0.0171375279314816,True,,False,True,True,True
codon_conserved_variation_test.fasta,sequence_ordering,8484,35.8837710950387,2.870701687603096,0.027321031782776117,0.02468237094581127,True,,True,False,False,False
codon_conserved_variation_test.fasta,sequence_ordering+use_token_entropy,6682,28.262064881783193,2.2609651905426555,0.027560793794691563,0.024652019143104553,True,,True,False,False,True
codon_conserved_variation_test.fasta,sequence_ordering+use_reverse_complement,15986,67.61409296620565,5.409127437296451,2.4787215921096504,0.022951366379857063,True,,True,False,True,False
codon_conserved_variation_test.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,15986,67.61409296620565,5.409127437296451,2.4796678139828146,0.02233734494075179,True,,True,False,True,True
codon_conserved_variation_test.fasta,sequence_ordering+use_approximate,17484,73.95000634437254,5.9160005075498034,1.4522229181602597,0.01666565239429474,True,,True,True,False,False
codon_conserved_variation_test.fasta,sequence_ordering+use_approximate+use_token_entropy,17484,73.95000634437254,5.9160005075498034,1.4436101340688765,0.016780911013484,True,,True,True,False,True
codon_conserved_variation_test.fasta,sequence_ordering+use_approximate+use_reverse_complement,17484,73.95000634437254,5.9160005075498034,3.376111045014113,0.016274993307888508,True,,True,True,True,False
codon_conserved_variation_test.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,17484,73.95000634437254,5.9160005075498034,3.3778244289569557,0.0164389256387949,True,,True,True,True,True
lambda_phage.fasta,compact_baseline,16185,33.36975794812585,2.669580635850068,18.142256838735193,17.69280468299985,True,,False,False,False,False
lambda_phage.fasta,use_token_entropy,12294,25.34740835429467,2.0277926683435736,18.145970114972442,17.67966035893187,True,,False,False,False,True
lambda_phage.fasta,use_reverse_complement,16187,33.37388148942312,2.6699105191538495,18.13842421770096,17.68147042300552,True,,False,False,True,False
lambda_phage.fasta,use_reverse_complement+use_token_entropy,16187,33.37388148942312,2.6699105191538495,18.01906652795151,17.710276613011956,True,,False,False,True,True
lambda_phage.fasta,use_approximate,16187,33.37388148942312,2.6699105191538495,17.949401802849025,17.736122515052557,True,,False,True,False,False
lambda_phage.fasta,use_approximate+use_token_entropy,16187,33.37388148942312,2.6699105191538495,17.923724351916462,17.918549570720643,True,,False,True,False,True
lambda_phage.fasta,use_approximate+use_reverse_complement,16187,33.37388148942312,2.6699105191538495,17.972684171050787,17.746521460823715,True,,False,True,True,False
lambda_phage.fasta,use_approximate+use_reverse_complement+use_token_entropy,16187,33.37388148942312,2.6699105191538495,17.92640460981056,17.73764628311619,True,,False,True,True,True
lambda_phage.fasta,sequence_ordering,16185,33.36975794812585,2.669580635850068,18.036390309222043,17.748772158287466,True,,True,False,False,False
lambda_phage.fasta,sequence_ordering+use_token_entropy,12294,25.34740835429467,2.0277926683435736,18.0256104208529,17.806691497098655,True,,True,False,False,True
lambda_phage.fasta,sequence_ordering+use_reverse_complement,16187,33.37388148942312,2.6699105191538495,17.919728300068527,17.73475072393194,True,,True,False,True,False
lambda_phage.fasta,sequence_ordering+use_reverse_complement+use_token_entropy,16187,33.37388148942312,2.6699105191538495,17.915339244063944,17.791237702127546,True,,True,False,True,True
lambda_phage.fasta,sequence_ordering+use_approximate,16187,33.37388148942312,2.6699105191538495,17.99962994689122,17.753043833188713,True,,True,True,False,False
lambda_phage.fasta,sequence_ordering+use_approximate+use_token_entropy,16187,33.37388148942312,2.6699105191538495,17.970644365996122,17.734977137297392,True,,True,True,False,True
lambda_phage.fasta,sequence_ordering+use_approximate+use_reverse_complement,16187,33.37388148942312,2.6699105191538495,17.929422320332378,17.76981372665614,True,,True,True,True,False
lambda_phage.fasta,sequence_ordering+use_approximate+use_reverse_complement+use_token_entropy,16187,33.37388148942312,2.6699105191538495,17.94016471412033,17.770471272058785,True,,True,True,True,True
large_test.fasta,compact_baseline,8010,39.914291409208694,3.1931433127366953,0.05944475578144193,0.055408751126378775,True,,False,False,False,False
